CODE,COUNT
MN-1-1,35484870
BE-1-3,22558346
CV-4-7,13778180
AD-2-5,10909107
BE-1-7,8276460
BE-1-1,7398125
AD-2-4,7109938
BE-1-6,6972171
BE-1-4,6621599
SE-1-9,4694281
CV-4-9,2825816
CV-1-3,2691614
CV-2-1,2451138
CV-1-4,2372571
SE-1-6,2005655
SE-1-8,1630530
AD-3-2,1578000
CV-1-1,1441043
BE-1-2,866353
AD-1-6,826732
BE-1-10,818431
CV-1-8,815737
CV-4-3,759084
CV-1-9,659033
BE-1-5,542342
CV-3-2,519692
AD-2-6,511864
MN-1-1,496498
CV-4-5,470044
CV-4-8,440214
SE-1-7,302692
CV-1-2,260652
CV-3-1,216586
AD-1-4,150762
AD-2-3,143940
BE-1-3,142808
SE-1-5,134720
CV-3-5,128184
BE-1-4,105412
AD-1-7,101574
AD-2-4,101074
AD-3-7,89231
SE-1-2,84751
AD-1-9,80707
AD-1-3,75374
CV-4-1,71724
CV-1-1,65013
SE-1-2,55938
AD-3-5,52053
CV-4-2,44800
AD-3-8,44677
CV-1-8,35287
SE-1-3,30016
AD-1-4,25017
CV-1-3,21728
MN-1-2,19979
BE-1-8,17512
AD-3-3,16837
CV-1-10,14282
AD-3-6,11189
BE-1-10,9054
AD-1-7,9017
BE-1-6,8468
CV-1-7,6983
CV-1-7,6429
CV-1-6,5833
AD-1-1,4356
CV-1-10,4190
CV-1-5,3501
CV-1-6,2919
AD-1-5,2635
SE-1-6,2537
CV-3-2,2202
CV-2-1,1974
BE-1-9,1637
AD-1-2,1579
AD-3-4,1221
SE-1-1,1141
SE-1-7,1062
CV-1-4,931
SE-1-4,930
AD-2-5,626
AD-3-6,580
CV-4-10,580
CV-1-9,252
AD-1-3,242
CV-3-4,203
CV-3-3,164
CV-3-1,142
CV-4-4,129
SE-1-10,129
AD-1-2,104
BE-1-5,99
AD-3-1,85
AD-2-1,81
SE-1-3,63
BE-1-7,58
CV-4-9,56
AD-1-8,54
CV-4-6,35
AD-1-6,32
AD-2-2,19
BE-1-2,18
CV-1-2,15
AD-3-1,8
SE-1-1,7
AD-2-6,6
CV-4-3,5
SE-1-9,4
SE-1-8,4
SE-1-10,4
SE-1-4,4
CV-4-1,4
AD-1-1,3
AD-3-5,3
BE-1-9,2
CV-1-5,2
AD-3-8,2
AD-3-4,1
