CODE,COUNT,PRINCIPAL_DIAGNOSIS_CODE
J06.9,4182280,4.00%
J00,2717302,3.00%
I10,2618200,2.00%
K02,2565244,2.00%
E11,2090449,2.00%
J02,1645138,2.00%
J20,1521350,1.00%
M54.5,1477704,1.00%
J03,1270493,1.00%
J30.4,1241631,1.00%
R50.9,1232474,1.00%
J02.9,1118130,1.00%
A09.9,1079760,1.00%
J45.9,980518,1.00%
E11.9,893307,1.00%
R10.4,884681,1.00%
R51,853292,1.00%
E78.5,853057,1.00%
J01,837138,1.00%
N39.0,767849,1.00%
J20.9,766257,1.00%
J45,764284,1.00%
K29.7,729655,1.00%
K04.0,723074,1.00%
E11.42,713994,1.00%
J03.9,676720,1.00%
R05,665700,1.00%
J06,661835,1.00%
D50,656541,1.00%
R10,636042,1.00%
M25.50,609744,1.00%
K04.7,601000,1.00%
A09,595163,1.00%
E55.9,595146,1.00%
R42,593452,1.00%
E03.9,587751,1.00%
K04,585159,1.00%
H52.1,552507,1.00%
K02.1,547239,1.00%
K02.9,532892,0.00%
M25.5,522761,0.00%
L30.9,513390,0.00%
E78.2,504661,0.00%
R11,501197,0.00%
R07.4,500716,0.00%
R53,476666,0.00%
R52.9,453883,0.00%
J01.9,433892,0.00%
D50.9,430538,0.00%
N23,429257,0.00%
H52.2,421238,0.00%
K21,404791,0.00%
N40,401009,0.00%
Z01.0,395332,0.00%
H10,393520,0.00%
E55,385221,0.00%
H04.1,383950,0.00%
H52,381507,0.00%
K59.0,374179,0.00%
E11.40,356993,0.00%
T78.4,353497,0.00%
K58,346561,0.00%
K90.4,340183,0.00%
K05,339020,0.00%
Z01.2,331994,0.00%
E11.65,312659,0.00%
N94.6,309979,0.00%
H10.1,301569,0.00%
A09.0,300876,0.00%
B96.81,299601,0.00%
Z34.9,296455,0.00%
H61.2,293267,0.00%
K29,292859,0.00%
N92.6,288899,0.00%
N76.0,288575,0.00%
M51.1,287597,0.00%
Z34.8,285622,0.00%
H52.0,283797,0.00%
B07,282352,0.00%
R52.0,281927,0.00%
M54.2,273508,0.00%
K21.9,272738,0.00%
Z34,266593,0.00%
N93.9,263311,0.00%
K29.1,263225,0.00%
J06.8,256803,0.00%
K05.0,253183,0.00%
H66.9,252353,0.00%
I95,242507,0.00%
J30,234673,0.00%
E86,230741,0.00%
J22,227585,0.00%
M54.4,224345,0.00%
R10.0,224268,0.00%
D64.9,224010,0.00%
J30.3,222164,0.00%
Z01.4,221803,0.00%
E11.4,220440,0.00%
M25.56,218524,0.00%
H10.9,216092,0.00%
M17,214880,0.00%
M25.57,214413,0.00%
L20.9,207320,0.00%
L20,206017,0.00%
M50.1,204432,0.00%
J40,203151,0.00%
E11.8,187336,0.00%
R06.0,185161,0.00%
K58.9,184977,0.00%
L02,181629,0.00%
R10.3,179796,0.00%
N91.2,178425,0.00%
R00.2,178230,0.00%
K21.0,177904,0.00%
Z35.9,177535,0.00%
B35.4,172330,0.00%
R50,169630,0.00%
R30.0,168740,0.00%
O09.1,166776,0.00%
K29.70,166527,0.00%
K05.1,165191,0.00%
D51,164795,0.00%
M25.51,162897,0.00%
Z27.8,162340,0.00%
Z48.0,160144,0.00%
M79.1,158420,0.00%
Z51.8,155881,0.00%
H04,155262,0.00%
H01.0,154366,0.00%
M10,152963,0.00%
J18.0,151711,0.00%
J21.9,149314,0.00%
E03,148715,0.00%
R10.1,148494,0.00%
Z35.8,147928,0.00%
A49.9,146054,0.00%
H10.3,144081,0.00%
F41.2,143154,0.00%
L50.0,142331,0.00%
E78,138740,0.00%
J34.2,137687,0.00%
K30,136542,0.00%
H52.4,135102,0.00%
Z00.1,134204,0.00%
E79.0,132040,0.00%
R21,131704,0.00%
M75.1,130987,0.00%
K01.1,130544,0.00%
H60,130233,0.00%
M62.6,129372,0.00%
Z00.0,128459,0.00%
L23,128427,0.00%
J06.0,126705,0.00%
H00.1,125871,0.00%
B35.6,122677,0.00%
H65.0,120187,0.00%
K02.8,120059,0.00%
N18.5,119838,0.00%
H10.5,118008,0.00%
H10.0,117042,0.00%
J21,116822,0.00%
H92.0,116435,0.00%
J39.9,115313,0.00%
N91.1,114942,0.00%
H52.7,114888,0.00%
E10,114660,0.00%
Z35,114413,0.00%
E78.4,113104,0.00%
E56.9,112962,0.00%
E61.1,112860,0.00%
H81.1,112677,0.00%
N20.0,111162,0.00%
O09.5,110723,0.00%
M60,109074,0.00%
O09.4,108052,0.00%
F41.1,107778,0.00%
M17.0,106183,0.00%
Z51.88,103767,0.00%
J45.0,103205,0.00%
L50,102880,0.00%
J32,101532,0.00%
Z34.0,101171,0.00%
K58.0,101044,0.00%
H04.9,100337,0.00%
L73.9,100255,0.00%
N77.1,100189,0.00%
K64.9,99103,0.00%
K04.6,98952,0.00%
Z71.9,98745,0.00%
M72.2,97837,0.00%
G43,97777,0.00%
M25.54,96631,0.00%
Z27.9,95601,0.00%
K04.4,94835,0.00%
O20.0,94618,0.00%
M25.58,94598,0.00%
T14.9,94447,0.00%
J32.9,93489,0.00%
B37.3,92374,0.00%
G43.9,91123,0.00%
H66.0,90795,0.00%
D51.9,90477,0.00%
J03.0,86230,0.00%
K90,85621,0.00%
J02.0,85381,0.00%
Z27,84597,0.00%
L20.8,84588,0.00%
R14,83522,0.00%
Z38.0,83194,0.00%
R07.3,82828,0.00%
Z48.9,82807,0.00%
Z41.2,82785,0.00%
R04.0,81856,0.00%
M13.9,81037,0.00%
O09.2,80647,0.00%
J05.0,80305,0.00%
B36.0,79959,0.00%
L02.9,79744,0.00%
J18.9,79363,0.00%
D50.8,79332,0.00%
Z09.0,79063,0.00%
K76.0,79003,0.00%
N20,78189,0.00%
K60.2,77880,0.00%
R25.2,77640,0.00%
U86.2,77076,0.00%
R06.2,76852,0.00%
R35,76839,0.00%
I64,76563,0.00%
J02.8,76396,0.00%
L60.0,76374,0.00%
I86.1,76295,0.00%
F41.9,76015,0.00%
G44.2,75075,0.00%
O09.3,74053,0.00%
K90.9,73179,0.00%
E09.9,72776,0.00%
M54.3,72576,0.00%
R52,72562,0.00%
K04.1,72550,0.00%
M79.10,72054,0.00%
E22.1,71783,0.00%
G56.0,71735,0.00%
H60.9,71077,0.00%
N30.0,70922,0.00%
F90.0,70846,0.00%
J35.2,70698,0.00%
K01,70680,0.00%
Z51.9,70670,0.00%
L50.9,70527,0.00%
C50.9,70333,0.00%
O80,70174,0.00%
E28.2,70115,0.00%
S02.5,70061,0.00%
S83.2,69908,0.00%
L03,69633,0.00%
M75.4,69616,0.00%
L21,69338,0.00%
H91.9,69241,0.00%
L23.9,68686,0.00%
H52.6,68568,0.00%
K29.6,67964,0.00%
E10.9,67231,0.00%
R50.8,66967,0.00%
L30,66167,0.00%
D57.0,65838,0.00%
K02.5,65544,0.00%
M77.1,65123,0.00%
M17.9,64273,0.00%
E11.69,63650,0.00%
E78.0,63491,0.00%
K29.5,63173,0.00%
R23.1,62196,0.00%
L30.3,62035,0.00%
B35.3,62008,0.00%
N20.1,61541,0.00%
E34.3,61154,0.00%
H10.8,61071,0.00%
E53.9,61020,0.00%
Z36,60745,0.00%
K02.0,60362,0.00%
I95.9,60212,0.00%
S93.4,59831,0.00%
H00.0,59610,0.00%
I25.9,59097,0.00%
J01.4,58851,0.00%
G62.9,57343,0.00%
K08.3,57048,0.00%
N20.9,57019,0.00%
G35,56857,0.00%
J34.3,56137,0.00%
G40,56093,0.00%
R03.0,55580,0.00%
J01.0,55205,0.00%
O26.9,55061,0.00%
H81.3,54895,0.00%
M79.2,54487,0.00%
R10.2,54443,0.00%
K60.0,54405,0.00%
H93.1,54306,0.00%
Z02.1,54036,0.00%
H16.2,53564,0.00%
J04.0,52470,0.00%
L08.9,51871,0.00%
M54,51849,0.00%
L70.0,51745,0.00%
H53.8,51629,0.00%
H04.8,51550,0.00%
Z26.9,51277,0.00%
M77.3,51027,0.00%
H65,50631,0.00%
E11.72,50374,0.00%
M79.67,50079,0.00%
J03.8,49926,0.00%
J20.8,49903,0.00%
L22,49777,0.00%
J01.8,49467,0.00%
B34.9,49109,0.00%
I25.11,49090,0.00%
G54.2,49024,0.00%
J45.8,49009,0.00%
G47.32,48657,0.00%
F32,48567,0.00%
M23,48200,0.00%
L02.8,48188,0.00%
L21.9,48066,0.00%
M25.55,47930,0.00%
S46.0,47766,0.00%
R07.0,47636,0.00%
M50,47490,0.00%
N94.4,47405,0.00%
N76.1,47202,0.00%
L40.0,46849,0.00%
N30,46633,0.00%
H26.9,46536,0.00%
S80.0,46535,0.00%
B00.0,46526,0.00%
K60.3,46446,0.00%
H10.4,46245,0.00%
K29.9,45731,0.00%
O82,45600,0.00%
P59.9,45510,0.00%
G43.0,45306,0.00%
G44,44796,0.00%
E09.72,44230,0.00%
S61.0,44178,0.00%
H16.0,44100,0.00%
M65.3,44048,0.00%
M65,43777,0.00%
N41.1,43721,0.00%
J30.2,43566,0.00%
K02.3,43527,0.00%
J39.3,43401,0.00%
Z32.1,43143,0.00%
I25,42938,0.00%
N39.81,42933,0.00%
F84.0,42735,0.00%
J30.0,42618,0.00%
M79.66,42505,0.00%
J30.1,42298,0.00%
O09,42177,0.00%
L08.0,42064,0.00%
L30.8,41793,0.00%
N93,41562,0.00%
J35.3,41488,0.00%
S90.3,41410,0.00%
S05.0,41395,0.00%
M54.12,41338,0.00%
M54.16,41307,0.00%
S60.2,41247,0.00%
L29.9,41212,0.00%
A01.0,41151,0.00%
Z36.9,41107,0.00%
U82.3,40997,0.00%
Z32,40894,0.00%
H40,40645,0.00%
K07.6,40614,0.00%
N92.1,40369,0.00%
N20.2,40301,0.00%
B37,40266,0.00%
R07.1,40097,0.00%
K04.5,39988,0.00%
K60.1,39955,0.00%
H53.9,39623,0.00%
Z30.9,39531,0.00%
R22.9,39471,0.00%
J35.0,39278,0.00%
R73,39266,0.00%
J31.0,39264,0.00%
D50.0,39143,0.00%
S92.3,39072,0.00%
N39.9,39062,0.00%
M15.4,38876,0.00%
E73.9,38768,0.00%
K02.2,38647,0.00%
B37.0,38639,0.00%
R23.8,38556,0.00%
H69.9,38352,0.00%
K52.9,38348,0.00%
Z39.2,38318,0.00%
B86,37931,0.00%
S93.40,37804,0.00%
R55,37563,0.00%
Z48.8,37382,0.00%
J20.2,37372,0.00%
M17.1,37366,0.00%
J11,37065,0.00%
Z01.1,36994,0.00%
K05.3,36968,0.00%
N63,36913,0.00%
M25.59,36884,0.00%
Z71.2,36861,0.00%
R12,36840,0.00%
L03.9,36703,0.00%
S33.5,36660,0.00%
J32.8,36536,0.00%
O02.1,36361,0.00%
H81.4,36359,0.00%
S13.4,36194,0.00%
E07.9,35985,0.00%
H62.2,35912,0.00%
Z39.01,35677,0.00%
G40.90,35247,0.00%
L02.0,35169,0.00%
G51.0,35007,0.00%
M51.0,34851,0.00%
H00,34830,0.00%
K59.1,34786,0.00%
K62.5,34758,0.00%
M13.0,34733,0.00%
N92.5,34597,0.00%
E03.8,34453,0.00%
S83.6,34217,0.00%
R63.5,34137,0.00%
M47.22,33705,0.00%
L72.0,33689,0.00%
I83.9,33603,0.00%
B30,33193,0.00%
R13,33183,0.00%
M79.6,33159,0.00%
K08.1,32941,0.00%
M79.19,32771,0.00%
M22.4,32754,0.00%
E10.65,32512,0.00%
K61.0,32374,0.00%
K27,32286,0.00%
M13,32260,0.00%
A04.9,32166,0.00%
J34.8,32110,0.00%
N18.9,32054,0.00%
Z25.1,31805,0.00%
L40,31648,0.00%
U78.1,31635,0.00%
E66,31489,0.00%
A41.9,31469,0.00%
S83.53,31345,0.00%
M50.9,31291,0.00%
S60.0,31267,0.00%
F41.0,31253,0.00%
H40.0,31188,0.00%
N41.0,31148,0.00%
H60.8,30879,0.00%
I20.0,30832,0.00%
M25.53,30677,0.00%
K05.2,30520,0.00%
M79.60,30330,0.00%
J15.9,30319,0.00%
D51.8,30274,0.00%
M46.1,29907,0.00%
K12.0,29877,0.00%
L21.0,29604,0.00%
H35.8,29590,0.00%
N83.2,29468,0.00%
R63.4,29357,0.00%
M75.0,29343,0.00%
E11.31,29242,0.00%
J46,28940,0.00%
H16,28855,0.00%
N39,28776,0.00%
M10.9,28762,0.00%
K04.9,28547,0.00%
G54.4,28519,0.00%
K35,28457,0.00%
E09,28448,0.00%
H36,28399,0.00%
D29.1,28272,0.00%
B02,28271,0.00%
K52,28169,0.00%
L05.0,28149,0.00%
R22.1,27858,0.00%
K05.6,27831,0.00%
H53,27719,0.00%
H26.4,27652,0.00%
E05,27598,0.00%
M65.4,27475,0.00%
H25.1,27469,0.00%
H90.3,27451,0.00%
L21.8,27218,0.00%
N64.9,27215,0.00%
E88.9,26787,0.00%
N45,26688,0.00%
I25.0,26666,0.00%
K52.8,26590,0.00%
L01,26496,0.00%
H65.2,26490,0.00%
E11.73,26131,0.00%
G43.3,26114,0.00%
H35.9,25794,0.00%
N76,25722,0.00%
L40.9,25683,0.00%
J32.4,25596,0.00%
H10.2,25581,0.00%
R69,25539,0.00%
K03.6,25507,0.00%
B35.0,25396,0.00%
S90.0,25391,0.00%
J39,25328,0.00%
R31,25275,0.00%
L80,25170,0.00%
M22.2,25098,0.00%
M76.6,25057,0.00%
M13.99,25016,0.00%
T14.1,24969,0.00%
E11.6,24948,0.00%
J01.1,24904,0.00%
M47,24784,0.00%
M50.0,24758,0.00%
L50.1,24686,0.00%
R60.9,24671,0.00%
E66.93,24541,0.00%
H11.3,24526,0.00%
C73,24474,0.00%
Z30,24432,0.00%
L29,24406,0.00%
E58,24403,0.00%
R32,24315,0.00%
L02.2,24308,0.00%
H60.5,24295,0.00%
L08,24291,0.00%
K08.9,24263,0.00%
Z48,24127,0.00%
Z23.8,24082,0.00%
N92,23970,0.00%
K64.2,23940,0.00%
S93.6,23896,0.00%
G20,23816,0.00%
E05.9,23732,0.00%
M79.61,23571,0.00%
Z26.8,23563,0.00%
L23.8,23547,0.00%
L24,23522,0.00%
Z32.0,23426,0.00%
N93.8,23392,0.00%
F98.0,23388,0.00%
R52.2,23226,0.00%
G43.1,23163,0.00%
N32.9,23006,0.00%
Z10,22868,0.00%
M47.26,22756,0.00%
B37.9,22727,0.00%
E11.22,22635,0.00%
M79.64,22605,0.00%
K51.9,22591,0.00%
S43.4,22590,0.00%
T89.0,22538,0.00%
Y59.9,22531,0.00%
S52.5,22474,0.00%
K08.81,22461,0.00%
H18.6,22256,0.00%
L73.2,22183,0.00%
E11.34,22117,0.00%
E04.2,22054,0.00%
M10.97,22040,0.00%
L73.8,21994,0.00%
R62.0,21985,0.00%
B30.1,21870,0.00%
H40.9,21691,0.00%
R94.5,21690,0.00%
N39.88,21670,0.00%
U63.01,21609,0.00%
N91.5,21520,0.00%
L72.8,21480,0.00%
M51.9,21446,0.00%
Z00,21398,0.00%
C50,21344,0.00%
L30.4,21265,0.00%
N30.9,21253,0.00%
I20.9,21204,0.00%
E04.1,21098,0.00%
L85.3,21082,0.00%
E11.43,21036,0.00%
J39.8,21030,0.00%
O34.2,21004,0.00%
A06.0,20997,0.00%
Z10.8,20984,0.00%
S09.9,20956,0.00%
E66.3,20954,0.00%
K12.2,20882,0.00%
E11.7,20837,0.00%
S61,20807,0.00%
H35.3,20796,0.00%
M47.27,20785,0.00%
Z01.7,20627,0.00%
N91,20618,0.00%
E11.41,20617,0.00%
M62.60,20607,0.00%
M79.18,20583,0.00%
N41.3,20538,0.00%
I83,20457,0.00%
K64.3,20410,0.00%
R22,20407,0.00%
M35.0,20289,0.00%
L71.8,20234,0.00%
M23.9,20228,0.00%
B35.1,20225,0.00%
M62.68,20175,0.00%
U80.3,20122,0.00%
B00,19992,0.00%
K40,19928,0.00%
N18.3,19899,0.00%
K29.50,19824,0.00%
M62.61,19767,0.00%
M21.4,19760,0.00%
L70.9,19707,0.00%
L30.0,19703,0.00%
T15.0,19702,0.00%
H25,19591,0.00%
H18.8,19582,0.00%
C18.9,19495,0.00%
K35.8,19357,0.00%
L02.4,19279,0.00%
B00.9,19252,0.00%
Z99.2,19203,0.00%
G47.0,19167,0.00%
G44.8,19167,0.00%
B00.2,19166,0.00%
K50.9,19152,0.00%
G55.1,19116,0.00%
K81.0,19111,0.00%
M25,19084,0.00%
E11.33,19045,0.00%
N92.0,18995,0.00%
I11,18881,0.00%
L42,18769,0.00%
B08.1,18751,0.00%
M54.17,18623,0.00%
S50.0,18500,0.00%
I50.0,18494,0.00%
M13.98,18471,0.00%
E66.9,18399,0.00%
J04,18358,0.00%
N13.2,18306,0.00%
H57.1,18265,0.00%
R22.4,18250,0.00%
H66,18098,0.00%
Z39,18049,0.00%
H65.9,18045,0.00%
E50.0,18040,0.00%
G50.0,18026,0.00%
E16.2,18003,0.00%
O21.0,17964,0.00%
F33.2,17897,0.00%
D57.1,17871,0.00%
T14.05,17776,0.00%
A49,17761,0.00%
G43.8,17729,0.00%
E14,17635,0.00%
