CODE,DISPLAY,COUNT,PERCENTAGE_OF_CLAIMS,,CLAIM_COUNT,TYPE,PERCENTAGE_OF_CLAIMS
10000000032324,Dallah Hospital,2145997,1.98%,,"108,033,504",HCP,99.89%
10000000001081,Al Rayan Hospital for Healthcare Company,1832038,1.69%,,"122,503",[NULL],0.11%
10000000069631,AL Grab Specialist Hospital â€“ Takhasosi,1720257,1.59%,,,,
10000300071592,Sehat Al Sharq Medical Limited Co. Branch,1498436,1.39%,,,,
10000300061197,Olaya medical Complex,1396942,1.29%,,,,
10000000078780,Medical Specialist Center Hospital,1257027,1.16%,,,,
10000300123013,United Hundred Pharmacy,1093047,1.01%,,,,
10000300318829,North  Riyadh Hospital,1083409,1.00%,,,,
10000000050680,Dr. Soliman Fakih Hospital,1040793,0.96%,,,,
10000000134484,Al-Mousa Specialized Hospital in Al-Ahsa,1020803,0.94%,,,,
10000000067098,Sehat Al-Swedi For Healthcare Co.,1017662,0.94%,,,,
10000000087377,My International Medical Clinic Complex,935726,0.87%,,,,
10000300154596,SPECIALIZED MEDICAL CENTER,912609,0.84%,,,,
10000000124964,Mouwasat Hospital - Jubail,807403,0.75%,,,,
10000300049747,Saudi Medical Services,726243,0.67%,,,,
10000000029301,Al Hammadi Hospital - Al Nuzha,697435,0.64%,,,,
10000000042257,samodah,615207,0.57%,,,,
10000000001824,Riyadh Care Hospital,571867,0.53%,,,,
10000000064871,The Saudi-German Hospital,558788,0.52%,,,,
10000000107530,United Doctors Hospital,549429,0.51%,,,,
10000300122098,Ahmed Salmin Balghosun General Medical Complex,542343,0.50%,,,,
10000000047264,Comprehensive Medical Check Up Center In Makkah,535877,0.50%,,,,
10000000001443,International Medical Center Hospital,530079,0.49%,,,,
10000000111318,"Mouwasat Hospital, Riyadh",527658,0.49%,,,,
10000300272406,Al Salam  HOSPITAL,526762,0.49%,,,,
10000000117935,"Al-Manea General Hospital, Jubail",523615,0.48%,,,,
10000300314604,West Jeddah Hospital Company,512896,0.47%,,,,
10000000055390,Dallah Hospital,488168,0.45%,,,,
10000000100543,Mouwasat Hospital in Khobar,486990,0.45%,,,,
10000300200209,Lemon Pharmacy Number  Twenty Nine,478208,0.44%,,,,
10000000091791,"Mohammed Al-Dossary Hospital, Al-Khobar",472034,0.44%,,,,
10000300199039,DMFH,471297,0.44%,,,,
10000000055424,"Al Hammadi Hospital, Al Suwaidi Branch",450863,0.42%,,,,
10000300077649,ALRYAN INTERNATIONAL POLYCLINIC,449770,0.42%,,,,
10000300120696,ALJEDAANIHOSPITAL,441970,0.41%,,,,
10000300300165,Marakez Alaolih Altbieh Co,431747,0.40%,,,,
10000000116515,Clinics of Al Abeer Medical Company - Sharafiya district,426763,0.39%,,,,
10000300150537,SAFA MAKKAH POLYCLINIC,411673,0.38%,,,,
10000300123385,AL LULU MEDICAL COMPLEX,403858,0.37%,,,,
10000000004102,Buraidah Al Takhassusi Hospital for Healthcare Company,400525,0.37%,,,,
10000300256888,MOUWASAT MEDICAL SERVICES HOSPITAL,397429,0.37%,,,,
10000300096813,ALAHSA HOSPITAL,394026,0.36%,,,,
10000000040376,Vaccine Center,392912,0.36%,,,,
10000300196647,MAKKAH MEDICAL CENTER,392028,0.36%,,,,
10000300189287,SHIFA AL KHOBAR MEDICAL CENTER,391625,0.36%,,,,
10000000071512,The Saudi-German Hospital,382064,0.35%,,,,
10000300167085,Shifaa Al Bawadi Complex Company for Medical Services,375828,0.35%,,,,
10000300182803,Al Maghlouth General Medical Complex,365165,0.34%,,,,
10000000067635,Kingdom Hospital,364889,0.34%,,,,
10000300079561,SAFA DAMMAM GENERAL MEDICAL COMPLEX,363729,0.34%,,,,
10000300190822,Shoaa Medical Complex,360843,0.33%,,,,
10000300160536,Dar Assihha Medical complex,358626,0.33%,,,,
10000000000930,King Faisal Specialist Hospital and Research Centre,354130,0.33%,,,,
10000000003170,Abha Private Hospital,350586,0.32%,,,,
10000300043351,Al jazeera hospital,335337,0.31%,,,,
10000300075064,DANAT ALSAHRAA MEDICAL COMPANY,333848,0.31%,,,,
10000300105044,Alkhaleejy Medical,329686,0.30%,,,,
10000000002138,Care National Hospital,322916,0.30%,,,,
10000300086020,Badr ALRabie Medical Center,321756,0.30%,,,,
10000000085025,"Al-Abeer Medical Complex, Azizia / Jeddah",318397,0.29%,,,,
10000300304514,AL Murjan Medical Center Co,313329,0.29%,,,,
10000300105671,Tuwaiq Medical Complex one,307913,0.28%,,,,
10000000108587,Obaid Specialist Hospital,301769,0.28%,,,,
10000300093851,Gulf Asian Medical Center Company,298962,0.28%,,,,
10000300049598,Khafji National Hospital company,297609,0.28%,,,,
10000000046944,Medical Committee of  Jeddah,295681,0.27%,,,,
10000000152981,Al-Maneh General Hospital in Al-Ahsa,290636,0.27%,,,,
10000300179809,DSMC,289940,0.27%,,,,
10000000097830,Bagedo and Dr. Irfan General Hospital - Jeddah,286306,0.26%,,,,
10000300185186,WAMC,278980,0.26%,,,,
10000300032545,ALharamain Medical Momplex,277966,0.26%,,,,
10000000115541,Al-Abeer International Medical Complex - Al-Bawadi District,275536,0.25%,,,,
10000000002055,Al Mana Medical Complex,275166,0.25%,,,,
10000300036710,Hagar Polyclinic,274331,0.25%,,,,
10000300083688,TYPICAL MEDICAL COMPLEX,269392,0.25%,,,,
10000000106474,"Branch of Dr. Sulaiman Abdul Qadir Faqih Hospital Company, Al-Basatin",268742,0.25%,,,,
10000300201918,Family Care Hospital,263122,0.24%,,,,
10000300147442,AlNahdi Care Company,261647,0.24%,,,,
10000300300827,Company Al Marakiz Al Oulia For Medical care,260489,0.24%,,,,
10000300041835,Almadloul Medical Complex,258606,0.24%,,,,
10000300259882,Saudi German Hospital Makkah Meddle East Hospital Company,255289,0.24%,,,,
10000300218748,MY CLINIC INTERNATIONAL MEDICAL CANTER BRANCH,255025,0.24%,,,,
10000300195151,BADR ALKAHLEEJ MEDCIAL CENTER,252954,0.23%,,,,
10000000102614,Aster Sanad Hospital for Medical Care,252727,0.23%,,,,
10000000134260,Tadawi Hospital for Medical Services in Dammam,252564,0.23%,,,,
10000300202098,SAUDI GERMAN HOSPITAL DAMMAM,252217,0.23%,,,,
10000300073796,ALRAYAN INTERNATIONAL POLYCLINIC,250239,0.23%,,,,
10000300200258,Ali bin Muhammad bin Mahfar bin Ali Hospital,247391,0.23%,,,,
10000300091434,AlAnsari Specialist Hospital,245566,0.23%,,,,
10000300269956,ASLAM MARSHOUD RAHAILY MEDICAL CENTER COMPAN,245321,0.23%,,,,
10000300104344,AL ADWANI GENERAL HOSPITAL,244665,0.23%,,,,
10000000046019,Medina Regional Laboratory,243200,0.22%,,,,
10000300162086,altaawin medicalo natonal,240620,0.22%,,,,
10000300197686,jubail medicare complex,239025,0.22%,,,,
10000000030508,Gamma Medical Hospital in Dammam,238731,0.22%,,,,
10000300030697,AI Ahmadi MedicaI Complex,237465,0.22%,,,,
10000000103885,The Saudi-German Hospital,236714,0.22%,,,,
10000300137856,Rafa Medical center,233948,0.22%,,,,
10000300298708,Meena Telehealth,233720,0.22%,,,,
10000300149380,Branch of the heirs for dr mohammed albadi medical copmany,233542,0.22%,,,,
10000300150305,dawaak medical polyclinlinic company,233221,0.22%,,,,
10000300227459,Doctor Soliman Fakeeh Hospital,231191,0.21%,,,,
10000000063337,Mouwasat Hospital in Qatif,230540,0.21%,,,,
10000300202627,aljazira clinic,230088,0.21%,,,,
10000300121926,KMC,228964,0.21%,,,,
10000300262894,Sanar company for health services,228630,0.21%,,,,
10000000094431,"Al-Ahli Saudi Hospital, Aziziyah",226180,0.21%,,,,
10000300198163,Salam Health Medical Company is a closed joint stock company,225069,0.21%,,,,
10000000029452,Dr. Hospital Abdul Rahman Bakhsh,224526,0.21%,,,,
10000000102663,Al-Abeer International Medical Company Clinics Complex Riyadh ,223565,0.21%,,,,
10000300199013,Rabia Hospital,223065,0.21%,,,,
10000300098827,ALRIDA GENERAL MEDICAL CO,222409,0.21%,,,,
10000300050141,p m c,221432,0.20%,,,,
10000300175203,Al Mas Ideal Medical,218992,0.20%,,,,
10000300185681,UMMLUJ,216176,0.20%,,,,
10000300030242,ALSAEDY MEDICAL POLYCINIC,214088,0.20%,,,,
10000300199229,Khalid Medical Center,210134,0.19%,,,,
10000300286992,ALMANA  HOSPITALS  ALAZIZA,209977,0.19%,,,,
10000300050414,elite medial doctors co,209770,0.19%,,,,
10000300209945,Al Zahra Private Hospital,206701,0.19%,,,,
10000300091186,wahat alshifa,205978,0.19%,,,,
10000300089917,arrawdha medical,205342,0.19%,,,,
10000300122486,Diem Pharmaceutical Company,204886,0.19%,,,,
10000300135363,Abdul Alah Al Muhaideb Dental,204873,0.19%,,,,
10000300156237,ADWA ALHAYAT,203606,0.19%,,,,
10000000044741,Prince Fahd bin Sultan Hospital Company / Tabuk,203595,0.19%,,,,
10000300064977,mohmmad aljedaani medical center,203341,0.19%,,,,
10000300202379,PIONEERS SPECIALIST MEDICAL CENTER,202973,0.19%,,,,
10000300151642,Al Wattan Medical Complex First,201786,0.19%,,,,
10000300068440,Arrawdha Gnenral Hospital,201755,0.19%,,,,
